"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
580,"Verlorene Töchter","NDR","21.11.2004","Casstorff und Holicek",8,"Elke Schuch, Marc Blöbaum","Daniel Helfer",""
581,"Abseits","MDR","28.11.2004","Ehrlicher und Kain",36,"Horst Freund","Hajo Gies",""
582,"Eine Leiche zu viel","WDR","05.12.2004","Thiel und Boerne",6,"Dorothee Schön, Georg Schott","Kaspar Heidelbach",""
583,"Vorstadtballade","BR","12.12.2004","Batic und Leitmayr",39,"Robert Hültner","Martin Enlen",""
584,"Bienzle und der Feuerteufel","SWR","02.1.2005","Bienzle",20,"Felix Huby, Dieter de Lazzer","Arend Agthe",""
585,"Die Spieler","SWR","09.1.2005","Blum und Perlmann",6,"Fred Breinersdorfer","Michael Verhoeven",""
586,"Dunkle Wege","NDR","16.1.2005","Lindholm",6,"Thorsten Näter, Susanne Schneider","Christiane Balthasar",""
587,"Ein Glücksgefühl","NDR","30.1.2005","Casstorff und Holicek",9,"Markus Busch","Filippos Tsitos",""
588,"Feuertaufe","MDR","06.2.2005","Ehrlicher und Kain",37,"Andreas Pflüger","Hannu Salonen",""
589,"Schürfwunden","WDR","13.2.2005","Ballauf und Schenk",30,"Frank Posiadly, Niki Stein","Niki Stein",""
590,"Der Name der Orchidee","SWR","06.3.2005","Blum und Perlmann",7,"Dorothee Schön","Jürgen Bretzinger",""
591,"Todesbrücke","RBB","13.3.2005","Ritter und Stark",18,"Frauke Hunfeld","Christine Hartmann",""
592,"Schattenhochzeit","NDR","20.3.2005","Borowski",4,"Karl-Heinz Käfer","Kaspar Heidelbach",""
593,"Letzte Zweifel","SWR","28.3.2005","Odenthal und Kopper",33,"Jochen Bitzer","Christoph Stark",""
594,"Der Frauenflüsterer","WDR","03.4.2005","Thiel und Boerne",7,"Jan Hinter, Stefan Cantz","Kaspar Heidelbach",""
595,"Wo ist Max Gravert?","HR","17.4.2005","Dellwo und Sänger",6,"Lars Kraume","Lars Kraume","Publikumspreis beim Deutschen Fernsehkrimipreis 2006"
596,"Am Abgrund","SWR","24.4.2005","Odenthal und Kopper",34,"Richard Reitzinger","René Heisig",""
597,"Minenspiel","WDR","08.5.2005","Ballauf und Schenk",31,"Karl-Heinz Käfer","Torsten C. Fischer","Marler Medienpreis Menschenrechte 2007"
598,"Nur ein Spiel","BR","22.5.2005","Batic und Leitmayr",40,"Peter Zingler, Ulli Stephan","Manuel Siebenmann",""
599,"Die schlafende Schöne","ORF","29.5.2005","Eisner",12,"Dieter Berner","Dieter Berner",""
600,"Scheherazade","Radio Bremen","05.6.2005","Lürsen und Stedefreund",12,"Christian Jeltsch","Peter Henning und Claudia Prietzel","Deutscher Fernsehpreis 2005 (Beste Kamera) und Deutscher Kamerapreis (Fernsehspiel) an Ngo The Chau"
